"Entity","mean_temp","Code","Year","Consumption"
"Solomon Islands",25.3283554392123,"SLB",2018,1.83
"Somalia",27.2063332953817,"SOM",2018,0.009
"South Africa",17.2050462493536,"ZAF",2018,9.52
"Spain",13.0858857458725,"ESP",2018,12.72
"Sri Lanka",26.5057077132373,"LKA",2018,4.1
"Sudan",26.7588069104173,"SDN",2018,0.51
"Suriname",26.3017686426093,"SUR",2018,5.33
"Sweden",2.17485665459632,"SWE",2018,8.93
"Switzerland",4.94547581225663,"CHE",2018,11.53
"Syria",17.7596058846879,"SYR",2018,0.24
"Tajikistan",2.45621127383508,"TJK",2018,3.28
"Tanzania",22.4737983361323,"TZA",2018,11.27
"Thailand",26.152477414692,"THA",2018,8.3
"Togo",26.7471525279877,"TGO",2018,2.46
"Trinidad and Tobago",25.8442517788741,"TTO",2018,6.72
"Tunisia",19.0841155726617,"TUN",2018,2.12
"Turkey",10.7992052572308,"TUR",2018,2.05
"Turkmenistan",15.2843629359736,"TKM",2018,4.93
"Uganda",22.4893959166069,"UGA",2018,15.09
"Ukraine",7.97465798063371,"UKR",2018,8.32
"United Arab Emirates",27.0969447346477,"ARE",2018,3.9
"United Kingdom",8.47776343519023,"GBR",2018,11.45
"United States",6.59189318311866,"USA",2018,9.87
"Uruguay",17.5224846930407,"URY",2018,6.92
"Uzbekistan",12.3821193428809,"UZB",2018,2.59
"Vanuatu",23.8678763174242,"VUT",2018,2.25
"Venezuela",25.6148858173414,"VEN",2018,4.14
"Vietnam",23.3655863621256,"VNM",2018,8.66
"Yemen",23.0068224869793,"YEM",2018,0.051
"Zambia",21.1923838944531,"ZMB",2018,6.54
"Zimbabwe",20.4921869919007,"ZWE",2018,4.67
